Human,SARS-CoV2,Score
Q9BSF4,P0DTC4,3.128
Q9BSF4,P0DTC3,1.88
Q9BSF4,P0DTC1,1.42
Q9BSF4,P0DTC8,0.019
Q9BSF4,P0DTC9,0.335
Q9BSF4,P0DTD2,0.019
Q9BSF4,P0DTD3,3.627
O94826,P0DTC5,2.256
O94826,P0DTC6,0.016
O94826,P0DTC2,3.691
O94826,P0DTC7,1.629
O94826,P0DTC4,2.869
O94826,P0DTC3,1.795
O94826,P0DTC1,3.334
O94826,P0DTC9,0.401
O94826,P0DTC8,0.026
O94826,P0DTD2,0.019
O94826,P0DTD3,3.627
Q5JSZ5,P0DTC4,0.01
Q5JSZ5,P0DTC2,0.03
Q5JSZ5,P0DTC1,0.795
Q5JSZ5,P0DTC9,0.01
Q5JSZ5,P0DTC8,0.01
Q13206,P0DTC2,0.023
Q13206,P0DTC4,0.007
Q13206,P0DTC1,2.228
Q13206,P0DTC8,0.007
Q13206,P0DTC9,0.791
Q9H4P4,P0DTC2,1.502
Q9H4P4,P0DTC7,0.041
Q9H4P4,P0DTC6,0.051
Q9H4P4,P0DTC5,0.26
Q9H4P4,P0DTC4,1.578
Q9H4P4,P0DTC3,0.307
Q9H4P4,P0DTC1,5.8
Q9H4P4,P0DTC8,1.318
Q9H4P4,P0DTC9,2.243
Q9H4P4,P0DTD2,0.051
P12268,P0DTF1,0.232
O95573,P0DTF1,0.102
O75592,P0DTF1,0.651
P62873,P0DTF1,0.218
Q9NR30,P0DTF1,1.111
P31323,P0DTF1,0.162
P78406,P0DTF1,0.194
P62877,P0DTF1,0.196
O76061,P0DTF1,0.248
Q8IV08,P0DTF1,0.277
P05556,P0DTF1,0.112
O14656,P0DTF1,0.15
O95613,P0DTF1,0.107
P61106,P0DTF1,1.915
P17612,P0DTF1,0.174
Q96F46,P0DTF1,0.514
Q86UT6,P0DTF1,1.025
Q7KZI7,P0DTF1,0.388
P27105,P0DTF1,0.948
P09601,P0DTF1,0.232
Q96AY3,P0DTF1,0.119
Q92820,P0DTF1,0.332
Q04726,P0DTF1,0.388
Q99996,P0DTF1,0.15
O76024,P0DTF1,0.147
Q8IWR1,P0DTF1,2.193
Q13546,P0DTF1,0.416
Q13283,P0DTF1,0.665
Q92769,P0DTF1,0.288
O43823,P0DTF1,0.621
P61586,P0DTF1,0.121
P37198,P0DTF1,0.35
Q9Y4L1,P0DTF1,0.388
P21964,P0DTF1,0.183
P12109,P0DTF1,0.259
P35241,P0DTF1,0.416
Q4KMQ2,P0DTF1,1.278
Q9UHD2,P0DTF1,1.616
O96028,P0DTF1,0.172
Q9NY61,P0DTF1,0.111
Q9BQ95,P0DTF1,0.707
Q04724,P0DTF1,0.388
P05026,P0DTF1,0.15
P35555,P0DTF1,0.601
Q12770,P0DTF1,0.21
Q9NXA8,P0DTF1,0.61
P55085,P0DTF1,0.506
Q6UUV7,P0DTF1,0.232
P67870,P0DTF1,0.291
Q8TAD8,P0DTF1,0.517
O14578,P0DTF1,0.393
Q6Y7W6,P0DTF1,0.106
P07203,P0DTF1,0.668
A7MCY6,P0DTF1,0.707
P11310,P0DTF1,0.152
Q9UN86,P0DTF1,0.353
P62330,P0DTF1,0.111
Q9P0L2,P0DTF1,0.388
O14745,P0DTF1,0.295
Q08117,P0DTF1,0.179
P00750,P0DTF1,0.15
P28300,P0DTF1,0.252
Q96IV0,P0DTF1,0.581
Q8N183,P0DTF1,0.196
P19784,P0DTF1,0.111
P26358,P0DTF1,0.155
Q13443,P0DTF1,0.343
Q7Z2K6,P0DTC6,0.017
Q7Z2K6,P0DTC2,1.374
Q7Z2K6,P0DTC7,1.283
Q7Z2K6,P0DTC5,1.624
Q7Z2K6,P0DTC4,2.006
Q7Z2K6,P0DTC3,1.21
Q7Z2K6,P0DTC1,3.823
Q7Z2K6,P0DTC8,0.019
Q7Z2K6,P0DTC9,0.256
Q7Z2K6,P0DTD2,0.019
Q7Z2K6,P0DTD3,2.542
P55789,P0DTC7,0.038
P55789,P0DTC6,0.029
P55789,P0DTC5,0.158
P55789,P0DTC2,0.733
P55789,P0DTC4,0.169
P55789,P0DTC3,0.296
P55789,P0DTC1,1.262
P55789,P0DTC8,0.04
P55789,P0DTC9,0.652
P55789,P0DTD2,0.035
P55789,P0DTD3,0.019
P11233,P0DTC7,0.17
P11233,P0DTC6,0.069
P11233,P0DTC5,0.596
P11233,P0DTC4,1.669
P11233,P0DTC3,0.291
P11233,P0DTC2,2.349
P11233,P0DTC1,1.901
P11233,P0DTC8,1.087
P11233,P0DTC9,1.252
P11233,P0DTD2,0.051
P11233,P0DTD3,0.019
Q9Y673,P0DTC2,1.842
Q9Y673,P0DTC6,0.016
Q9Y673,P0DTC7,1.512
Q9Y673,P0DTC5,2.251
Q9Y673,P0DTC4,2.857
Q9Y673,P0DTC3,1.586
Q9Y673,P0DTC1,2.335
Q9Y673,P0DTC9,0.198
Q9Y673,P0DTC8,0.019
Q9Y673,P0DTD2,0.019
Q9Y673,P0DTD3,3.627
Q9NP72,P0DTC2,0.669
Q9NP72,P0DTC7,0.217
Q9NP72,P0DTC6,0.035
Q9NP72,P0DTC5,0.602
Q9NP72,P0DTC4,0.651
Q9NP72,P0DTC3,0.499
Q9NP72,P0DTC1,2.152
Q9NP72,P0DTC8,0.049
Q9NP72,P0DTC9,1.636
Q9NP72,P0DTD2,0.042
Q9NP72,P0DTD3,0.254
Q86YB8,P0DTC2,0.964
Q86YB8,P0DTC7,0.05
Q86YB8,P0DTC5,0.468
Q86YB8,P0DTC4,1.11
Q86YB8,P0DTC3,0.399
Q86YB8,P0DTC1,1.635
Q86YB8,P0DTC9,1.728
Q86YB8,P0DTC8,0.642
P62873,P0DTC7,0.721
P62873,P0DTC6,0.506
P62873,P0DTC5,0.764
P62873,P0DTC4,1.696
P62873,P0DTC3,0.459
P62873,P0DTC2,2.083
P62873,P0DTC1,3.813
P62873,P0DTC8,1.168
P62873,P0DTC9,1.758
P62873,P0DTD2,0.273
P62873,P0DTD3,0.137
P62877,P0DTC7,0.211
P62877,P0DTC6,0.22
P62877,P0DTC5,0.318
P62877,P0DTC4,1.054
P62877,P0DTC3,0.168
P62877,P0DTC2,1.084
P62877,P0DTC1,5.157
P62877,P0DTC8,0.949
P62877,P0DTC9,1.482
P62877,P0DTD2,0.41
P62877,P0DTD3,0.01
O00566,P0DTC5,0.219
O00566,P0DTC6,0.15
O00566,P0DTC2,0.588
O00566,P0DTD2,0.15
O00566,P0DTC7,0.116
O00566,P0DTC4,0.229
O00566,P0DTC3,0.275
O00566,P0DTC1,2.107
O00566,P0DTC9,0.157
O00566,P0DTC8,0.01
Q96F45,P0DTC2,1.295
Q96F45,P0DTC7,0.078
Q96F45,P0DTC6,0.099
Q96F45,P0DTC4,1.803
Q96F45,P0DTC1,2.637
Q96F45,P0DTC8,1.803
Q96F45,P0DTC9,2.097
Q96F45,P0DTD2,0.067
Q96F46,P0DTC2,1.771
Q96F46,P0DTC6,1.277
Q96F46,P0DTC7,1.447
Q96F46,P0DTC5,0.727
Q96F46,P0DTC4,0.547
Q96F46,P0DTC3,0.475
Q96F46,P0DTC1,1.972
Q96F46,P0DTC9,0.101
Q96F46,P0DTC8,0.019
Q96F46,P0DTD2,1.299
Q96F46,P0DTD3,0.019
O76024,P0DTC7,1.028
O76024,P0DTC6,0.694
O76024,P0DTC5,1.938
O76024,P0DTC4,3.67
O76024,P0DTC3,1.64
O76024,P0DTC2,3.364
O76024,P0DTC1,2.886
O76024,P0DTC8,1.799
O76024,P0DTC9,2.207
O76024,P0DTD2,0.365
O76024,P0DTD3,0.744
Q15369,P0DTC7,0.002
Q15369,P0DTC5,0.339
Q15369,P0DTC4,0.339
Q15369,P0DTC3,0.408
Q15369,P0DTC2,0.314
Q15369,P0DTC1,1.531
Q15369,P0DTC9,0.479
Q9UHI8,P0DTC2,0.526
Q9UHI8,P0DTC7,0.039
Q9UHI8,P0DTC6,0.027
Q9UHI8,P0DTC5,0.031
Q9UHI8,P0DTC4,0.036
Q9UHI8,P0DTC3,0.051
Q9UHI8,P0DTC1,5.992
Q9UHI8,P0DTC9,0.304
Q9UHI8,P0DTC8,0.029
Q9UHI8,P0DTD2,0.029
Q9UHI8,P0DTD3,0.014
O60573,P0DTC5,0.152
O60573,P0DTC2,0.862
O60573,P0DTC7,0.374
O60573,P0DTC6,0.432
O60573,P0DTC4,0.628
O60573,P0DTC3,0.201
O60573,P0DTC1,3.844
O60573,P0DTC9,0.876
O60573,P0DTC8,0.476
O60573,P0DTD2,0.338
P14735,P0DTC7,0.314
P14735,P0DTC6,0.282
P14735,P0DTC5,0.293
P14735,P0DTC4,1.164
P14735,P0DTC3,0.318
P14735,P0DTC2,1.677
P14735,P0DTC1,5.496
P14735,P0DTC8,0.888
P14735,P0DTC9,1.523
P14735,P0DTD2,0.286
P14735,P0DTD3,0.01
Q9H7F0,P0DTC2,2.592
Q9H7F0,P0DTC6,0.016
Q9H7F0,P0DTC7,1.59
Q9H7F0,P0DTC5,3.097
Q9H7F0,P0DTC4,3.703
Q9H7F0,P0DTC3,2.713
Q9H7F0,P0DTC1,2.639
Q9H7F0,P0DTC9,0.965
Q9H7F0,P0DTC8,0.019
Q9H7F0,P0DTD2,0.019
Q9H7F0,P0DTD3,3.627
P35241,P0DTC7,1.069
P35241,P0DTC6,0.936
P35241,P0DTC5,0.767
P35241,P0DTC4,1.919
P35241,P0DTC3,0.333
P35241,P0DTC2,2.545
P35241,P0DTC1,2.842
P35241,P0DTC8,1.582
P35241,P0DTC9,1.689
P35241,P0DTD2,0.656
P35241,P0DTD3,0.195
P0C7P0,P0DTC5,0.092
P0C7P0,P0DTC2,1.27
P0C7P0,P0DTC7,0.003
P0C7P0,P0DTC4,0.102
P0C7P0,P0DTC3,0.24
P0C7P0,P0DTC1,1.082
P0C7P0,P0DTC9,0.151
P0C7P0,P0DTC8,0.01
O75439,P0DTC6,0.016
O75439,P0DTC5,0.53
O75439,P0DTC2,1.005
O75439,P0DTC7,0.185
O75439,P0DTC4,0.534
O75439,P0DTC3,0.527
O75439,P0DTC1,4.514
O75439,P0DTC9,0.598
O75439,P0DTC8,0.021
O75439,P0DTD2,0.021
O75439,P0DTD3,0.01
Q2T9J0,P0DTC7,0.003
Q2T9J0,P0DTC5,0.319
Q2T9J0,P0DTC4,1.733
Q2T9J0,P0DTC3,0.334
Q2T9J0,P0DTC2,1.683
Q2T9J0,P0DTC1,4.671
Q2T9J0,P0DTC9,1.867
Q2T9J0,P0DTC8,1.414
O75534,P0DTC5,0.149
O75534,P0DTC6,0.034
O75534,P0DTD2,0.042
O75534,P0DTC2,2.464
O75534,P0DTC7,0.04
O75534,P0DTC4,0.166
O75534,P0DTC3,0.189
O75534,P0DTC1,4.608
O75534,P0DTC9,0.387
O75534,P0DTC8,0.052
O75534,P0DTD3,0.019
P61019,P0DTC6,0.032
P61019,P0DTC7,0.27
P61019,P0DTC5,0.727
P61019,P0DTC4,0.775
P61019,P0DTC3,0.726
P61019,P0DTC2,0.907
P61019,P0DTC1,1.317
P61019,P0DTC9,0.638
P61019,P0DTC8,0.044
P61019,P0DTD2,0.036
P61019,P0DTD3,0.283
P49643,P0DTC7,0.003
P49643,P0DTC5,0.309
P49643,P0DTC4,0.319
P49643,P0DTC3,0.433
P49643,P0DTC2,0.64
P49643,P0DTC1,2.409
P49643,P0DTC9,2.32
P49643,P0DTC8,0.01
P49642,P0DTC7,0.003
P49642,P0DTC5,0.258
P49642,P0DTC4,0.266
P49642,P0DTC3,0.362
P49642,P0DTC2,0.563
P49642,P0DTC1,0.781
P49642,P0DTC8,0.008
P49642,P0DTC9,0.196
Q8IWJ2,P0DTC2,1.711
Q8IWJ2,P0DTC7,0.003
Q8IWJ2,P0DTC5,0.285
Q8IWJ2,P0DTC4,2.117
Q8IWJ2,P0DTC3,0.341
Q8IWJ2,P0DTC1,1.634
Q8IWJ2,P0DTC8,1.832
Q8IWJ2,P0DTC9,2.297
Q9HCE1,P0DTC2,0.662
Q9HCE1,P0DTC7,0.041
Q9HCE1,P0DTC6,0.032
Q9HCE1,P0DTC5,0.229
Q9HCE1,P0DTC4,0.245
Q9HCE1,P0DTC3,0.323
Q9HCE1,P0DTC1,3.759
Q9HCE1,P0DTC9,1.233
Q9HCE1,P0DTC8,0.049
Q9HCE1,P0DTD2,0.042
Q9HCE1,P0DTD3,0.019
P06280,P0DTC5,0.472
P06280,P0DTC2,1.247
P06280,P0DTC7,0.003
P06280,P0DTC4,1.28
P06280,P0DTC3,0.444
P06280,P0DTC1,3.446
P06280,P0DTC9,1.227
P06280,P0DTC8,0.808
Q9Y6E2,P0DTC2,1.27
Q9Y6E2,P0DTC7,0.002
Q9Y6E2,P0DTC5,0.055
Q9Y6E2,P0DTC4,1.858
Q9Y6E2,P0DTC3,0.032
Q9Y6E2,P0DTC1,0.831
Q9Y6E2,P0DTC9,1.822
Q9Y6E2,P0DTC8,1.803
Q08117,P0DTC6,0.571
Q08117,P0DTC5,0.179
Q08117,P0DTC2,1.518
Q08117,P0DTC7,0.539
Q08117,P0DTC4,1.414
Q08117,P0DTC1,2.642
Q08117,P0DTC8,1.414
Q08117,P0DTC9,1.414
Q08117,P0DTD2,0.225
P12268,P0DTC5,0.696
P12268,P0DTC7,0.747
P12268,P0DTC6,0.74
P12268,P0DTC4,0.471
P12268,P0DTC3,0.507
P12268,P0DTC2,1.015
P12268,P0DTC1,3.104
P12268,P0DTC8,0.007
P12268,P0DTC9,2.342
P12268,P0DTD2,0.643
Q9NR30,P0DTC5,1.362
Q9NR30,P0DTC7,1.672
Q9NR30,P0DTC6,1.714
Q9NR30,P0DTC4,1.255
Q9NR30,P0DTC3,1.033
Q9NR30,P0DTC2,1.96
Q9NR30,P0DTC1,5.874
Q9NR30,P0DTC8,0.028
Q9NR30,P0DTC9,1.548
Q9NR30,P0DTD2,1.55
Q9NR30,P0DTD3,0.019
Q96K12,P0DTC5,0.535
Q96K12,P0DTC2,0.734
Q96K12,P0DTC7,0.096
Q96K12,P0DTC4,0.535
Q96K12,P0DTC3,0.623
Q96K12,P0DTC1,1.463
Q96K12,P0DTC9,0.464
Q9BQ95,P0DTC6,1.183
Q9BQ95,P0DTC5,1.137
Q9BQ95,P0DTC2,1.609
Q9BQ95,P0DTC7,1.255
Q9BQ95,P0DTC4,0.923
Q9BQ95,P0DTC3,0.933
Q9BQ95,P0DTC1,1.351
Q9BQ95,P0DTC9,0.505
Q9BQ95,P0DTD2,1.264
Q99081,P0DTC5,0.221
Q99081,P0DTC2,1.035
Q99081,P0DTC7,0.148
Q99081,P0DTC6,0.128
Q99081,P0DTC4,0.966
Q99081,P0DTC3,0.266
Q99081,P0DTC1,3.06
Q99081,P0DTC8,0.745
Q99081,P0DTC9,1.49
Q99081,P0DTD2,0.1
O95070,P0DTC5,0.71
O95070,P0DTC2,1.094
O95070,P0DTC7,0.231
O95070,P0DTC6,0.032
O95070,P0DTC4,0.776
O95070,P0DTC3,0.62
O95070,P0DTC1,0.289
O95070,P0DTC9,0.343
O95070,P0DTC8,0.042
O95070,P0DTD2,0.042
O95070,P0DTD3,0.371
P25440,P0DTC7,0.002
P25440,P0DTC2,1.306
P25440,P0DTC5,0.326
P25440,P0DTC4,1.23
P25440,P0DTC3,0.388
P25440,P0DTC1,1.745
P25440,P0DTC8,0.904
P25440,P0DTC9,1.102
Q8N0Z8,P0DTC2,0.637
Q8N0Z8,P0DTC7,0.002
Q8N0Z8,P0DTC5,0.095
Q8N0Z8,P0DTC4,0.095
Q8N0Z8,P0DTC3,0.214
Q8N0Z8,P0DTC1,1.747
Q8N0Z8,P0DTC9,3.138
O43169,P0DTC5,2.127
O43169,P0DTC2,1.788
O43169,P0DTC7,1.562
O43169,P0DTC6,0.016
O43169,P0DTC4,2.74
O43169,P0DTC3,1.639
O43169,P0DTC1,3.226
O43169,P0DTC9,0.483
O43169,P0DTC8,0.026
O43169,P0DTD2,0.019
O43169,P0DTD3,3.627
Q8N3C7,P0DTC5,0.122
Q8N3C7,P0DTC2,1.144
Q8N3C7,P0DTC7,0.001
Q8N3C7,P0DTC4,1.587
Q8N3C7,P0DTC3,0.166
Q8N3C7,P0DTC1,0.743
Q8N3C7,P0DTC8,1.465
Q8N3C7,P0DTC9,1.579
Q7L8L6,P0DTC6,0.376
Q7L8L6,P0DTC2,0.856
Q7L8L6,P0DTC7,0.352
Q7L8L6,P0DTC5,0.117
Q7L8L6,P0DTC4,0.127
Q7L8L6,P0DTC3,0.211
Q7L8L6,P0DTC1,2.937
Q7L8L6,P0DTC8,0.01
Q7L8L6,P0DTC9,0.145
Q7L8L6,P0DTD2,0.382
P38435,P0DTC7,0.075
P38435,P0DTC5,0.386
P38435,P0DTC2,0.726
P38435,P0DTC4,0.393
P38435,P0DTC3,0.328
P38435,P0DTC8,0.007
P38435,P0DTC9,0.196
Q6UX04,P0DTC7,0.054
Q6UX04,P0DTC6,0.063
Q6UX04,P0DTC5,0.273
Q6UX04,P0DTC4,0.273
Q6UX04,P0DTC3,0.39
Q6UX04,P0DTC2,0.315
Q6UX04,P0DTC1,1.077
Q6UX04,P0DTC9,0.209
Q6UX04,P0DTD2,0.03
Q9H4F8,P0DTC2,0.566
Q9H4F8,P0DTC7,0.006
Q9H4F8,P0DTC5,0.012
Q9H4F8,P0DTC4,0.022
Q9H4F8,P0DTC3,0.014
Q9H4F8,P0DTC1,1.391
Q9H4F8,P0DTC9,0.327
Q9H4F8,P0DTC8,0.01
Q9UN86,P0DTC2,1.297
Q9UN86,P0DTC7,0.808
Q9UN86,P0DTC6,0.806
Q9UN86,P0DTC5,0.516
Q9UN86,P0DTC4,0.5
Q9UN86,P0DTC3,0.466
Q9UN86,P0DTC1,3.171
Q9UN86,P0DTC9,0.439
Q9UN86,P0DTC8,0.008
Q9UN86,P0DTD2,0.657
P00750,P0DTC7,0.853
P00750,P0DTC6,0.909
P00750,P0DTC5,0.356
P00750,P0DTC4,1.655
P00750,P0DTC3,0.187
P00750,P0DTC2,1.846
P00750,P0DTC1,4.978
P00750,P0DTC8,1.481
P00750,P0DTC9,1.551
P00750,P0DTD2,0.72
P00750,P0DTD3,0.019
P27448,P0DTC2,0.924
P27448,P0DTC7,0.002
P27448,P0DTC5,0.201
P27448,P0DTC4,1.103
P27448,P0DTC3,0.181
P27448,P0DTC1,3.861
P27448,P0DTC9,1.876
P27448,P0DTC8,0.902
O14656,P0DTC5,1.261
O14656,P0DTC7,0.455
O14656,P0DTC6,0.434
O14656,P0DTC4,2.695
O14656,P0DTC3,0.905
O14656,P0DTC2,2.719
O14656,P0DTC1,3.218
O14656,P0DTC8,1.584
O14656,P0DTC9,2.804
O14656,P0DTD2,0.474
P09132,P0DTC5,0.212
P09132,P0DTC2,0.26
P09132,P0DTC7,0.003
P09132,P0DTC4,0.222
P09132,P0DTC3,0.24
P09132,P0DTC1,2.081
P09132,P0DTC9,0.442
P09132,P0DTC8,0.01
O76061,P0DTC5,1.697
O76061,P0DTC2,2.935
O76061,P0DTC7,0.594
O76061,P0DTC6,0.596
O76061,P0DTC4,2.865
O76061,P0DTC3,1.483
O76061,P0DTC1,3.354
O76061,P0DTC9,1.946
O76061,P0DTC8,1.416
O76061,P0DTD2,0.274
Q9ULX6,P0DTC5,0.333
Q9ULX6,P0DTC7,0.115
Q9ULX6,P0DTC6,0.132
Q9ULX6,P0DTC4,1.887
Q9ULX6,P0DTC3,0.366
Q9ULX6,P0DTC2,1.738
Q9ULX6,P0DTC1,4.447
Q9ULX6,P0DTC8,1.587
Q9ULX6,P0DTC9,3.795
Q9ULX6,P0DTD2,0.142
Q9ULX6,P0DTD3,0.019
P51149,P0DTC7,0.306
P51148,P0DTC7,0.092
P09601,P0DTC7,1.419
O75506,P0DTC7,0.01
Q96MM7,P0DTC7,1.71
P78406,P0DTC7,0.492
Q8IZ52,P0DTC7,1.224
Q8IV08,P0DTC7,2.084
Q9UL15,P0DTC7,0.002
Q9P2E5,P0DTC7,1.461
Q9NQC3,P0DTC7,0.396
O96028,P0DTC7,0.592
Q8IWA5,P0DTC7,0.067
Q9H8W4,P0DTC7,0.154
P27105,P0DTC7,1.718
P11940,P0DTC7,0.61
Q9BQS8,P0DTC7,0.002
Q9BW92,P0DTC7,0.019
Q9HAV7,P0DTC7,0.152
O75347,P0DTC7,0.04
Q99720,P0DTC7,0.222
Q9NXH9,P0DTC7,0.002
Q4KMQ2,P0DTC7,0.956
P09884,P0DTC7,0.003
Q9UKA9,P0DTC7,0.08
P35658,P0DTC7,0.431
Q9H2H8,P0DTC7,0.054
Q5JRX3,P0DTC7,0.003
Q6PKG0,P0DTC7,0.002
Q9Y4L1,P0DTC7,1.139
Q9Y375,P0DTC7,0.169
Q4G0J3,P0DTC7,0.069
Q8IUD2,P0DTC7,0.245
Q5VUA4,P0DTC7,0.353
Q6UW63,P0DTC7,0.002
Q9UDR5,P0DTC7,0.135
Q15818,P0DTC7,0.021
Q8NEJ9,P0DTC7,0.2
Q8WUY8,P0DTC7,1.462
Q99959,P0DTC7,0.027
Q9Y5J6,P0DTC7,0.2
Q9Y5J7,P0DTC7,0.101
Q9NY61,P0DTC7,0.77
Q8N766,P0DTC7,0.102
Q12770,P0DTC7,0.802
Q9NXA8,P0DTC7,0.931
Q9Y5J9,P0DTC7,0.18
Q96B26,P0DTC7,0.003
P48556,P0DTC7,0.002
Q10713,P0DTC7,0.145
O76094,P0DTC7,0.003
Q9BSJ2,P0DTC7,0.022
Q9UJZ1,P0DTC7,0.28
Q6Y7W6,P0DTC7,1.994
Q13443,P0DTC7,2.022
O75592,P0DTC7,0.582
Q9BQE4,P0DTC7,0.063
P38606,P0DTC7,0.187
P58166,P0DTC7,0.006
Q9H488,P0DTC7,0.003
P62330,P0DTC7,0.557
O95391,P0DTC7,0.003
Q86VR2,P0DTC7,1.537
P28300,P0DTC7,0.738
