Human,SARS-CoV2,Score
P23919,P0DTF1,0.005363
P23919,P0DTC4,0.002439
P23919,P0DTC7,0.013252
P23919,P0DTC6,0.013356
P23919,P0DTC5,0.007699
P23919,P0DTC1,0.040639
P23919,P0DTC9,0.02737
P23919,P0DTC8,0.000606
Q9Y394,P0DTC2,5.2e-05
Q9Y394,P0DTC7,5.2e-05
Q9Y394,P0DTC5,6.9e-05
Q9Y394,P0DTC4,6.9e-05
Q9Y394,P0DTC3,6.9e-05
Q9Y394,P0DTC9,3.5e-05
Q8NHX9,P0DTC3,0.031505
Q8NHX9,P0DTD2,0.003529
Q8NHX9,P0DTD3,0.06275
Q8NHX9,P0DTC5,0.043615
Q8NHX9,P0DTC4,0.073113
Q8NHX9,P0DTC7,0.031141
Q8NHX9,P0DTC6,0.003426
Q8NHX9,P0DTC2,0.067075
Q8NHX9,P0DTC1,0.067784
Q8NHX9,P0DTC9,0.025968
Q8NHX9,P0DTC8,0.019342
Q6UX39,P0DTC3,0.024048
Q6UX39,P0DTD2,0.000346
Q6UX39,P0DTC4,0.0241
Q6UX39,P0DTC7,0.000779
Q6UX39,P0DTC6,0.000865
Q6UX39,P0DTC5,0.0241
Q6UX39,P0DTC2,0.02275
Q6UX39,P0DTC1,0.014792
Q6UX39,P0DTC9,0.000934
Q6ZNW5,P0DTC3,0.00064
Q6ZNW5,P0DTC4,0.001142
Q6ZNW5,P0DTC5,0.001142
Q6ZNW5,P0DTC2,0.00109
Q6ZNW5,P0DTC1,0.015467
Q6ZNW5,P0DTC9,0.008512
Q9NXR8,P0DTD2,0.002768
Q9NXR8,P0DTC3,0.007837
Q9NXR8,P0DTC6,0.003149
Q9NXR8,P0DTC4,0.037941
Q9NXR8,P0DTC7,0.002509
Q9NXR8,P0DTC5,0.006747
Q9NXR8,P0DTC2,0.028304
Q9NXR8,P0DTC1,0.0514
Q9NXR8,P0DTC9,0.040518
Q9NXR8,P0DTC8,0.031193
Q6P1Q9,P0DTC1,0.013408
Q9C0H2,P0DTD2,0.000415
Q9C0H2,P0DTD3,0.012422
Q9C0H2,P0DTC3,0.00801
Q9C0H2,P0DTC4,0.012803
Q9C0H2,P0DTC7,0.005242
Q9C0H2,P0DTC6,0.000311
Q9C0H2,P0DTC5,0.010709
Q9C0H2,P0DTC2,0.009221
Q9C0H2,P0DTC1,0.004827
Q9C0H2,P0DTC9,0.002232
Q9C0H2,P0DTC8,0.000415
Q9C0H5,P0DTC3,0.002318
Q9C0H5,P0DTD2,0.001038
Q9C0H5,P0DTF1,0.001851
Q9C0H5,P0DTC4,0.001817
Q9C0H5,P0DTC7,0.004619
Q9C0H5,P0DTC6,0.004498
Q9C0H5,P0DTC5,0.003668
Q9C0H5,P0DTC2,0.00455
Q9C0H5,P0DTC1,0.018979
Q9C0H5,P0DTC9,0.007041
Q9H1Y0,P0DTC3,0.017059
Q9H1Y0,P0DTD3,0.000329
Q9H1Y0,P0DTD2,0.014256
Q9H1Y0,P0DTC4,0.032231
Q9H1Y0,P0DTC7,0.018823
Q9H1Y0,P0DTC6,0.01827
Q9H1Y0,P0DTC5,0.020501
Q9H1Y0,P0DTC2,0.045985
Q9H1Y0,P0DTC1,0.071573
Q9H1Y0,P0DTC9,0.007509
Q9H1Y0,P0DTC8,0.000727
Q9H1Y0,P0DTF1,0.009048
Q4VXU2,P0DTC6,0.003875
Q4VXU2,P0DTC5,0.003789
Q4VXU2,P0DTD2,0.003114
Q4VXU2,P0DTC3,0.003875
Q4VXU2,P0DTC1,0.046625
Q4VXU2,P0DTC4,0.003962
Q4VXU2,P0DTC7,0.003512
Q4VXU2,P0DTC2,0.013806
Q4VXU2,P0DTC9,0.007076
Q4VXU2,P0DTC8,0.000173
Q9C0H6,P0DTC3,0.003529
Q9C0H6,P0DTC4,0.001747
Q9C0H6,P0DTC7,3.5e-05
Q9C0H6,P0DTC5,0.001747
Q9C0H6,P0DTC2,0.001713
Q9C0H6,P0DTC1,0.003114
Q9C0H6,P0DTC9,0.007422
Q9C0H9,P0DTD2,0.003927
Q9C0H9,P0DTD3,0.000329
Q9C0H9,P0DTC4,0.030519
Q9C0H9,P0DTC7,0.007214
Q9C0H9,P0DTC6,0.00737
Q9C0H9,P0DTC5,0.001955
Q9C0H9,P0DTC3,0.002093
Q9C0H9,P0DTC2,0.03564
Q9C0H9,P0DTC1,0.037006
Q9C0H9,P0DTC9,0.031107
Q9C0H9,P0DTC8,0.029048
Q9NXR1,P0DTC3,0.005519
Q9NXR1,P0DTD2,0.012318
Q9NXR1,P0DTC4,0.037716
Q9NXR1,P0DTD3,0.002768
Q9NXR1,P0DTC7,0.01718
Q9NXR1,P0DTC6,0.013339
Q9NXR1,P0DTC5,0.00564
Q9NXR1,P0DTC2,0.041954
Q9NXR1,P0DTC1,0.032577
Q9NXR1,P0DTC9,0.039861
Q9NXR1,P0DTC8,0.032422
Q00537,P0DTC2,0.0009
Q00537,P0DTC4,0.000917
Q00537,P0DTC3,0.000519
Q00537,P0DTC5,0.000917
Q00537,P0DTC1,0.039809
Q00537,P0DTC9,0.013892
Q00536,P0DTC2,0.002491
Q00536,P0DTC6,0.000502
Q00536,P0DTC4,0.002491
Q00536,P0DTD3,0.000329
Q00536,P0DTC7,0.000986
Q00536,P0DTC5,0.002388
Q00536,P0DTC3,0.003789
Q00536,P0DTC1,0.044895
Q00536,P0DTC9,0.019844
Q00536,P0DTC8,0.000606
Q00536,P0DTD2,0.000606
Q9NXR7,P0DTC3,0.004291
Q9NXR7,P0DTD2,0.001073
Q9NXR7,P0DTC4,0.025276
Q9NXR7,P0DTC7,0.001522
Q9NXR7,P0DTC6,0.001817
Q9NXR7,P0DTC5,0.003304
Q9NXR7,P0DTC2,0.028252
Q9NXR7,P0DTC1,0.06467
Q9NXR7,P0DTC9,0.028339
Q9NXR7,P0DTC8,0.021972
Q6UXI7,P0DTC4,0.000242
Q6UXI7,P0DTC7,0.000104
Q6UXI7,P0DTC5,0.000242
Q6UXI7,P0DTC3,0.000242
Q6UXI7,P0DTC2,0.000208
Q6UXI7,P0DTC1,0.005761
Q6UXI7,P0DTC9,0.005484
O00712,P0DTC6,0.015536
O00712,P0DTF1,0.011038
O00712,P0DTC3,0.016211
O00712,P0DTC1,0.053165
O00712,P0DTC4,0.019308
O00712,P0DTC7,0.015571
O00712,P0DTC5,0.017629
O00712,P0DTC2,0.0241
O00712,P0DTC9,0.003356
O00712,P0DTC8,0.000104
O00712,P0DTD2,0.013149
Q9UBM8,P0DTC3,0.03474
Q9UBM8,P0DTD2,0.000329
Q9UBM8,P0DTC4,0.052127
Q9UBM8,P0DTD3,0.06275
Q9UBM8,P0DTC7,0.029584
Q9UBM8,P0DTC6,0.000277
Q9UBM8,P0DTC5,0.041643
Q9UBM8,P0DTC2,0.03493
Q9UBM8,P0DTC1,0.061712
Q9UBM8,P0DTC9,0.010951
Q9UBM8,P0DTC8,0.000329
Q96J65,P0DTC3,0.021211
Q96J65,P0DTD2,0.000329
Q96J65,P0DTD3,0.06275
Q96J65,P0DTC5,0.031522
Q96J65,P0DTC4,0.042006
Q96J65,P0DTC7,0.025346
Q96J65,P0DTC6,0.000277
Q96J65,P0DTC2,0.025276
Q96J65,P0DTC1,0.042421
Q96J65,P0DTC9,0.013598
Q96J65,P0DTC8,0.000329
O00241,P0DTC3,0.006038
O00241,P0DTC1,0.01711
O00241,P0DTC9,0.004152
O00241,P0DTC4,0.007958
O00241,P0DTC7,0.002578
O00241,P0DTC5,0.007958
O00241,P0DTC2,0.009342
O00716,P0DTC3,0.005467
O00716,P0DTC6,0.000848
O00716,P0DTC1,0.04647
O00716,P0DTC9,0.010969
O00716,P0DTC4,0.010813
O00716,P0DTC7,0.000865
O00716,P0DTC5,0.004083
O00716,P0DTC2,0.011194
O00716,P0DTC8,0.00673
O00716,P0DTD2,0.000865
Q6VAB6,P0DTC3,0.002266
Q6VAB6,P0DTC4,0.001765
Q6VAB6,P0DTC7,1.7e-05
Q6VAB6,P0DTC5,0.001765
Q6VAB6,P0DTC2,0.001868
Q6VAB6,P0DTC1,0.046504
Q6VAB6,P0DTC9,0.018252
Q9H8L6,P0DTC3,0.003823
Q9H8L6,P0DTD3,0.000329
Q9H8L6,P0DTD2,0.003426
Q9H8L6,P0DTC4,0.004429
Q9H8L6,P0DTC7,0.002751
Q9H8L6,P0DTC6,0.003218
Q9H8L6,P0DTC5,0.004256
Q9H8L6,P0DTC2,0.006574
Q9H8L6,P0DTC1,0.016488
Q9H8L6,P0DTC9,0.002076
Q9H8L6,P0DTC8,0.00083
Q9UBM1,P0DTD2,0.003183
Q9UBM1,P0DTF1,0.002163
Q9UBM1,P0DTC4,0.034601
Q9UBM1,P0DTD3,0.030172
Q9UBM1,P0DTC7,0.027525
Q9UBM1,P0DTC6,0.007699
Q9UBM1,P0DTC5,0.033166
Q9UBM1,P0DTC3,0.024896
Q9UBM1,P0DTC2,0.03282
Q9UBM1,P0DTC1,0.042179
Q9UBM1,P0DTC9,0.006453
Q9UBM1,P0DTC8,0.000484
Q9UBM7,P0DTC3,0.008287
Q9UBM7,P0DTD2,0.000865
Q9UBM7,P0DTC4,0.007976
Q9UBM7,P0DTC7,0.003304
Q9UBM7,P0DTC6,0.001972
Q9UBM7,P0DTC5,0.007906
Q9UBM7,P0DTC2,0.008841
Q9UBM7,P0DTC1,0.030501
Q9UBM7,P0DTC9,0.009775
Q9UBM7,P0DTC8,6.9e-05
Q6BEB4,P0DTD2,0.00282
Q6BEB4,P0DTF1,0.003356
Q6BEB4,P0DTC4,0.000121
Q6BEB4,P0DTC7,0.008045
Q6BEB4,P0DTC6,0.008322
Q6BEB4,P0DTC5,0.003356
Q6BEB4,P0DTC2,0.007682
Q6BEB4,P0DTC1,0.036383
Q6BEB4,P0DTC9,0.003512
Q6BEB4,P0DTC8,0.000121
P51993,P0DTC3,0.023148
P51993,P0DTD2,0.000675
P51993,P0DTD3,0.043978
P51993,P0DTC2,0.02647
P51993,P0DTC9,0.002543
P51993,P0DTC4,0.037664
P51993,P0DTC7,0.022456
P51993,P0DTC6,0.000588
P51993,P0DTC5,0.031038
P51993,P0DTC1,0.033875
P51993,P0DTC8,0.000675
Q13835,P0DTC2,0.027128
Q13835,P0DTC5,0.006834
Q13835,P0DTC4,0.026436
Q13835,P0DTC7,0.00064
Q13835,P0DTC3,0.004394
Q13835,P0DTC1,0.026816
Q13835,P0DTC9,0.022906
Q13835,P0DTC8,0.019602
Q7Z3T1,P0DTC3,0.021142
Q7Z3T1,P0DTC6,0.000277
Q7Z3T1,P0DTD2,0.000329
Q7Z3T1,P0DTD3,0.06275
Q7Z3T1,P0DTC7,0.025294
Q7Z3T1,P0DTC5,0.031453
Q7Z3T1,P0DTC4,0.041937
Q7Z3T1,P0DTC2,0.025224
Q7Z3T1,P0DTC1,0.021142
Q7Z3T1,P0DTC8,0.000329
A0AVF1,P0DTC3,0.004394
A0AVF1,P0DTC6,0.001436
A0AVF1,P0DTD3,0.000329
A0AVF1,P0DTC1,0.00801
A0AVF1,P0DTC4,0.002855
A0AVF1,P0DTC7,0.001367
A0AVF1,P0DTC5,0.002526
A0AVF1,P0DTC2,0.019861
A0AVF1,P0DTC9,0.002907
A0AVF1,P0DTC8,0.0009
A0AVF1,P0DTD2,0.001609
P40424,P0DTC3,0.00481
P40424,P0DTD2,0.00282
P40424,P0DTC2,0.016038
P40424,P0DTC4,0.013356
P40424,P0DTC7,0.006315
P40424,P0DTC6,0.003495
P40424,P0DTC5,0.003754
P40424,P0DTC1,0.042473
P40424,P0DTC9,0.012128
P40424,P0DTC8,0.009602
P40425,P0DTC2,0.010969
P40425,P0DTC4,0.011159
P40425,P0DTC1,0.032318
P40425,P0DTC9,0.016245
P40425,P0DTC8,0.011159
P40426,P0DTC2,0.003253
P40426,P0DTD2,0.002301
P40426,P0DTC4,0.000121
P40426,P0DTC7,0.002543
P40426,P0DTC6,0.003114
P40426,P0DTC1,0.020346
P40426,P0DTC9,0.000121
P40426,P0DTC8,0.000121
P40429,P0DTC3,0.002543
P40429,P0DTC5,0.002336
P40429,P0DTC2,0.031868
P40429,P0DTC4,0.002474
P40429,P0DTC7,3.5e-05
P40429,P0DTC1,0.071539
P40429,P0DTC9,0.004844
P40429,P0DTC8,0.000138
Q71RG4,P0DTC3,0.021142
Q71RG4,P0DTD3,0.06275
Q71RG4,P0DTD2,0.000329
Q71RG4,P0DTC4,0.041937
Q71RG4,P0DTC7,0.025294
Q71RG4,P0DTC6,0.000277
Q71RG4,P0DTC5,0.031453
Q71RG4,P0DTC2,0.025224
Q71RG4,P0DTC1,0.038373
Q71RG4,P0DTC8,0.000329
Q7Z3T8,P0DTC4,0.014602
Q7Z3T8,P0DTC7,0.001125
Q7Z3T8,P0DTC5,0.014429
Q7Z3T8,P0DTC3,0.006678
Q7Z3T8,P0DTC2,0.021799
Q7Z3T8,P0DTC1,0.033563
Q7Z3T8,P0DTC9,0.014446
Q7Z3T8,P0DTC8,0.000173
Q13838,P0DTC3,0.005882
Q13838,P0DTD2,0.00436
Q13838,P0DTD3,0.000225
Q13838,P0DTC2,0.044203
Q13838,P0DTF1,0.001125
Q13838,P0DTC4,0.016055
Q13838,P0DTC7,0.004464
Q13838,P0DTC6,0.004792
Q13838,P0DTC5,0.005986
Q13838,P0DTC1,0.097265
Q13838,P0DTC9,0.029515
Q13838,P0DTC8,0.011384
Q5M775,P0DTC3,0.007785
Q5M775,P0DTD3,0.000121
Q5M775,P0DTC4,0.006246
Q5M775,P0DTC7,8.7e-05
Q5M775,P0DTC6,0.000415
Q5M775,P0DTC5,0.006228
Q5M775,P0DTC2,0.005917
Q5M775,P0DTC1,0.007128
Q5M775,P0DTC9,0.007855
Q9H2I8,P0DTC1,0.000692
Q3LI59,P0DTC3,0.003772
Q3LI59,P0DTD3,0.000329
Q3LI59,P0DTD2,0.000727
Q3LI59,P0DTC4,0.002803
Q3LI59,P0DTC7,0.000709
Q3LI59,P0DTC6,0.000554
Q3LI59,P0DTC5,0.002647
Q3LI59,P0DTC2,0.002734
Q3LI59,P0DTC1,0.012647
Q3LI59,P0DTC9,0.008633
Q3LI59,P0DTC8,0.000727
P08842,P0DTC6,0.000277
P08842,P0DTC5,0.049532
P08842,P0DTD3,0.06275
P08842,P0DTC1,0.047006
P08842,P0DTC9,0.008616
P08842,P0DTC4,0.060016
P08842,P0DTC7,0.025588
P08842,P0DTC3,0.038667
P08842,P0DTC2,0.054532
P08842,P0DTC8,0.000329
P08842,P0DTD2,0.000329
Q6ZT89,P0DTD2,0.000606
Q6ZT89,P0DTD3,0.043978
Q6ZT89,P0DTC4,0.033166
Q6ZT89,P0DTC7,0.022353
Q6ZT89,P0DTC6,0.000519
Q6ZT89,P0DTC5,0.026522
Q6ZT89,P0DTC3,0.028615
Q6ZT89,P0DTC2,0.022231
Q6ZT89,P0DTC1,0.019256
Q6ZT89,P0DTC8,0.000606
P48960,P0DTC3,0.00564
P48960,P0DTC2,0.006868
P48960,P0DTC5,0.007353
P48960,P0DTC4,0.007353
P48960,P0DTC7,0.001851
P48960,P0DTC1,0.036089
P48960,P0DTC9,0.009394
P03897,P0DTC3,0.029567
P03897,P0DTC6,0.014204
P03897,P0DTC5,0.051781
P03897,P0DTD2,0.012007
P03897,P0DTD3,0.06275
P03897,P0DTC9,0.005121
P03897,P0DTF1,0.010986
P03897,P0DTC4,0.051279
P03897,P0DTC7,0.042819
P03897,P0DTC2,0.043356
P03897,P0DTC1,0.033702
P03897,P0DTC8,0.000329
P02768,P0DTC5,0.014619
P02768,P0DTC4,0.023062
P02768,P0DTC3,0.014169
P02768,P0DTC1,0.031712
P02768,P0DTC7,5.2e-05
P02768,P0DTC2,0.027058
P02768,P0DTC9,0.010692
P02768,P0DTC8,0.008443
A0A075B6S0,P0DTD3,0.006263
A0A075B6S0,P0DTD2,0.015744
A0A075B6S0,P0DTC4,0.004291
A0A075B6S0,P0DTF1,0.003893
A0A075B6S0,P0DTC7,0.013027
A0A075B6S0,P0DTC6,0.010588
A0A075B6S0,P0DTC5,0.007111
A0A075B6S0,P0DTC3,0.002301
A0A075B6S0,P0DTC2,0.008547
A0A075B6S0,P0DTC1,0.002336
A0A075B6S0,P0DTC8,0.000363
P05386,P0DTC3,0.003408
P05386,P0DTC6,0.000882
P05386,P0DTC5,0.002976
P05386,P0DTC4,0.003062
P05386,P0DTC1,0.059272
P05386,P0DTC7,0.000709
P05386,P0DTC2,0.042093
P05386,P0DTC9,0.007941
P05386,P0DTC8,8.7e-05
P05386,P0DTD2,0.000882
P05387,P0DTC6,0.000882
P05387,P0DTC5,0.004031
P05387,P0DTC3,0.003858
P05387,P0DTC1,0.057836
P05387,P0DTC4,0.004031
P05387,P0DTC7,0.000709
P05387,P0DTC2,0.043425
P05387,P0DTC9,0.007353
P05387,P0DTD2,0.000882
Q06587,P0DTC3,0.005744
Q06587,P0DTD3,0.000329
Q06587,P0DTD2,0.000796
Q06587,P0DTC4,0.004342
Q06587,P0DTC7,0.000761
Q06587,P0DTC6,0.00064
Q06587,P0DTC5,0.0041
Q06587,P0DTC2,0.010277
Q06587,P0DTC1,0.042819
Q06587,P0DTC9,0.01064
Q06587,P0DTC8,0.000917
P21815,P0DTC3,0.00019
P21815,P0DTC4,0.023425
P21815,P0DTC7,5.2e-05
P21815,P0DTC5,0.001246
P21815,P0DTC2,0.016124
P21815,P0DTC1,0.014221
P21815,P0DTC9,0.022335
P21815,P0DTC8,0.02218
P02760,P0DTC6,0.03211
P02760,P0DTF1,0.032629
P02760,P0DTC3,0.052387
P02760,P0DTC1,0.106036
P02760,P0DTC4,0.083563
P02760,P0DTC7,0.030363
P02760,P0DTC5,0.034947
P02760,P0DTC2,0.047664
P02760,P0DTC9,0.010502
P02760,P0DTC8,0.008996
P02760,P0DTD2,0.025657
P05388,P0DTC5,0.003477
P05388,P0DTC1,0.068909
P05388,P0DTC9,0.005934
P05388,P0DTC4,0.003616
P05388,P0DTC7,3.5e-05
P05388,P0DTC3,0.003564
P05388,P0DTC2,0.03057
P05388,P0DTC8,0.000138
P02765,P0DTC5,0.016903
P02765,P0DTC1,0.023027
P02765,P0DTC4,0.016903
P02765,P0DTC7,6.9e-05
P02765,P0DTC3,0.016055
P02765,P0DTC2,0.015865
P02765,P0DTC9,0.002699
P02766,P0DTC3,0.007993
P02766,P0DTC6,0.002024
P02766,P0DTC5,0.008616
P02766,P0DTC4,0.030882
P02766,P0DTC1,0.032941
P02766,P0DTC7,0.002128
P02766,P0DTC2,0.034498
P02766,P0DTC9,0.029446
P02766,P0DTC8,0.022266
P02766,P0DTD2,0.002024
Q7L266,P0DTC4,0.00154
Q7L266,P0DTC7,3.5e-05
Q7L266,P0DTC5,0.00154
Q7L266,P0DTC3,0.00199
Q7L266,P0DTC2,0.001661
Q7L266,P0DTC1,0.05929
Q7L266,P0DTC9,0.006176
Q9UQ07,P0DTC4,0.001315
Q9UQ07,P0DTC7,5.2e-05
Q9UQ07,P0DTC5,0.001315
Q9UQ07,P0DTC3,0.001557
Q9UQ07,P0DTC2,0.001298
Q9UQ07,P0DTC1,0.043719
Q9UQ07,P0DTC9,0.012543
K9N5Q8,P0DTC3,0.184305
K9N5Q8,P0DTC6,0.163682
K9N5Q8,P0DTD3,0.022093
K9N5Q8,P0DTC4,0.183734
K9N5Q8,P0DTF1,0.075103
K9N5Q8,P0DTC7,0.193076
K9N5Q8,P0DTC5,0.165187
K9N5Q8,P0DTC2,0.326586
K9N5Q8,P0DTC1,0.220221
K9N5Q8,P0DTC8,0.110361
K9N5Q8,P0DTD2,0.163544
Q9UQ05,P0DTC3,0.003183
Q9UQ05,P0DTD2,0.003201
Q9UQ05,P0DTC4,0.00308
Q9UQ05,P0DTC7,0.005709
Q9UQ05,P0DTC6,0.003149
Q9UQ05,P0DTC5,0.00308
Q9UQ05,P0DTC2,0.005363
Q9UQ05,P0DTC1,0.004014
Q9UQ05,P0DTC9,0.001765
Q9UJ70,P0DTC3,0.004775
Q9UJ70,P0DTC4,0.005138
Q9UJ70,P0DTC7,5.2e-05
Q9UJ70,P0DTC5,0.005138
Q9UJ70,P0DTC2,0.004706
Q9UJ70,P0DTC1,0.034601
Q9UJ70,P0DTC9,0.029394
Q9UJ71,P0DTC3,0.02782
Q9UJ71,P0DTD2,0.000329
Q9UJ71,P0DTD3,0.06275
Q9UJ71,P0DTC4,0.061245
Q9UJ71,P0DTC7,0.026955
Q9UJ71,P0DTC6,0.000277
Q9UJ71,P0DTC5,0.050587
Q9UJ71,P0DTC2,0.067715
Q9UJ71,P0DTC1,0.0482
Q9UJ71,P0DTC9,0.004827
Q9UJ71,P0DTC8,0.000502
Q9UJ72,P0DTC3,0.00064
Q9UJ72,P0DTC4,0.001315
Q9UJ72,P0DTC5,0.001142
Q9UJ72,P0DTC2,0.008512
Q9UJ72,P0DTC1,0.00545
